"Group.1" "timeBodyAcc-Mean-X" "timeBodyAcc-Mean-Y" "timeBodyAcc-Mean-Z" "timeBodyAcc-StdDev-X" "timeBodyAcc-StdDev-Y" "timeBodyAcc-StdDev-Z" "timeGravityAcc-Mean-X" "timeGravityAcc-Mean-Y" "timeGravityAcc-Mean-Z" "timeGravityAcc-StdDev-X" "timeGravityAcc-StdDev-Y" "timeGravityAcc-StdDev-Z" "timeBodyAccJerk-Mean-X" "timeBodyAccJerk-Mean-Y" "timeBodyAccJerk-Mean-Z" "timeBodyAccJerk-StdDev-X" "timeBodyAccJerk-StdDev-Y" "timeBodyAccJerk-StdDev-Z" "timeBodyGyro-Mean-X" "timeBodyGyro-Mean-Y" "timeBodyGyro-Mean-Z" "timeBodyGyro-StdDev-X" "timeBodyGyro-StdDev-Y" "timeBodyGyro-StdDev-Z" "timeBodyGyroJerk-Mean-X" "timeBodyGyroJerk-Mean-Y" "timeBodyGyroJerk-Mean-Z" "timeBodyGyroJerk-StdDev-X" "timeBodyGyroJerk-StdDev-Y" "timeBodyGyroJerk-StdDev-Z" "timeBodyAccMagnitude-Mean" "timeBodyAccMagnitude-StdDev" "timeGravityAccMagnitude-Mean" "timeGravityAccMagnitude-StdDev" "timeBodyAccJerkMagnitude-Mean" "timeBodyAccJerkMagnitude-StdDev" "timeBodyGyroMagnitude-Mean" "timeBodyGyroMagnitude-StdDev" "timeBodyGyroJerkMagnitude-Mean" "timeBodyGyroJerkMagnitude-StdDev" "freqBodyAcc-Mean-X" "freqBodyAcc-Mean-Y" "freqBodyAcc-Mean-Z" "freqBodyAcc-StdDev-X" "freqBodyAcc-StdDev-Y" "freqBodyAcc-StdDev-Z" "freqBodyAccJerk-Mean-X" "freqBodyAccJerk-Mean-Y" "freqBodyAccJerk-Mean-Z" "freqBodyAccJerk-StdDev-X" "freqBodyAccJerk-StdDev-Y" "freqBodyAccJerk-StdDev-Z" "freqBodyGyro-Mean-X" "freqBodyGyro-Mean-Y" "freqBodyGyro-Mean-Z" "freqBodyGyro-StdDev-X" "freqBodyGyro-StdDev-Y" "freqBodyGyro-StdDev-Z" "freqBodyAccMagnitude-Mean" "freqBodyAccMagnitude-StdDev" "freqBodyAccJerkMagnitude-Mean" "freqBodyAccJerkMagnitude-StdDev" "freqBodyGyroMagnitude-Mean" "freqBodyGyroMagnitude-StdDev" "freqBodyGyroJerkMagnitude-Mean" "freqBodyGyroJerkMagnitude-StdDev"
"1" 2 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 0.935223201473684 -0.282165021263158 -0.068102864 -0.976609642526316 -0.971305961473684 -0.947717226105263 0.0740416333157895 0.0282721095884211 -0.00416840617789474 -0.113615602435789 0.0670025007684211 -0.502699788526316 -0.041830963526 -0.0695300462115789 0.0849448173042105 -0.473535485894737 -0.0546077686594737 -0.344266629473684 -0.0899975423705263 -0.0398428709463158 -0.0461309295021053 -0.207421854757895 -0.304468510631579 -0.404255452631579 -0.136971176556842 -0.219688645631579 -0.136971176556842 -0.219688645631579 -0.141428809031579 -0.0744717500625263 -0.160979552536842 -0.186978364526316 -0.298703679084211 -0.325324878894737 -0.202794306326316 0.0897127264021053 -0.331560117789474 -0.319134719578947 0.056040006846 -0.279686751494737 -0.170546964549579 -0.0352255241130632 -0.468999224631579 -0.133586606326316 0.106739857136 -0.534713440421053 -0.339032197115789 -0.103059416434737 -0.255940940315789 -0.516691938736842 -0.0335081597884211 -0.436562227473684 -0.128623450629474 -0.398032586842105 -0.0571194000343158 -0.103492403002105 -0.199252568986316 -0.321017953894737 -0.319308593778947 -0.381601911789474
"2" 3 0.266505697767857 -0.0211305105890179 -0.101620778848214 -0.3910219 -0.0422353392080357 -0.233237443115179 0.903710989642857 -0.353963809107143 0.00895127083035714 -0.964967422857143 -0.962999154107143 -0.943825060357143 0.0805306320888393 0.0188346527821429 -0.0174016963696429 -0.357651994148214 -0.187750683221429 -0.643114213035714 -0.00401255358348214 -0.104045236336607 0.0712521615633929 -0.553657443125 -0.28170706838125 -0.493428449464286 -0.100977267291071 -0.0483021601553571 -0.0463920207309821 -0.496135044732143 -0.618787575982143 -0.516336286428571 -0.214466182669643 -0.376371118214286 -0.214466182669643 -0.376371118214286 -0.369006319008929 -0.313138072254464 -0.295208774539286 -0.361651776042857 -0.570139258214286 -0.600744663214286 -0.373624071964286 -0.101912053683929 -0.444125982410714 -0.400760050357143 -0.0788408698321429 -0.199128654085714 -0.387550822053571 -0.23713967925 -0.616719523482143 -0.384156634919643 -0.188739541325893 -0.668018962142857 -0.459477830625 -0.443425972321429 -0.423603453839286 -0.585994911964286 -0.2090911446875 -0.565464794553571 -0.337589833196429 -0.500991007767857 -0.298530012732143 -0.33869284328125 -0.433817333142857 -0.429946517928571 -0.607579979107143 -0.622379342589286
"3" 4 0.271077744767742 -0.016193817136129 -0.123397112267742 -0.219606619618897 -0.00280366178387097 -0.252535362165161 0.889894669225806 -0.311209226516129 -0.131979159231613 -0.955740352129032 -0.942395994580645 -0.911397186451613 0.0706630597250323 0.0101305133491613 0.000460444781290323 -0.18993018750129 -0.106434913488387 -0.485103459703226 -0.0385494328209677 -0.0678402169451613 0.08023599657 -0.49481340596129 -0.395312514851613 -0.268584581474194 -0.0846866370401936 -0.0415526091554839 -0.0411805709401935 -0.442328273483871 -0.5145361538 -0.430583453689677 -0.119943881728258 -0.180396408474194 -0.119943881728258 -0.180396408474194 -0.232544352897419 -0.12782863106129 -0.26651258003871 -0.398384888451613 -0.482637161380645 -0.494171449554839 -0.188987016132903 -0.0268594951080645 -0.312638327552903 -0.233508374723871 -0.0558371491393548 -0.281745401281935 -0.202854840567742 -0.151423298580645 -0.445414902580645 -0.251436211905613 -0.120068959697484 -0.523957465354839 -0.377961148095484 -0.3788778562 -0.243521138056129 -0.534309457154839 -0.412601756349677 -0.347181960264516 -0.12299662412 -0.343306962210323 -0.120284969700645 -0.147163357995226 -0.411454926848387 -0.498491996103226 -0.502607276707742 -0.521925742929032
"4" 5 0.269621504014085 -0.0184470349214085 -0.110712655830047 -0.416312725174178 -0.164559528152582 -0.497580410370892 0.889931899765258 -0.157013049474178 0.0544386087568075 -0.959823880657277 -0.938544820985916 -0.938118883239437 0.0752739891144131 0.0109760260744601 0.000188322950892018 -0.39581034201784 -0.320575657692958 -0.700965149530516 -0.0245501866801408 -0.080402866784507 0.0639956277661972 -0.553837277696714 -0.653847353849765 -0.592410737455399 -0.0979729052840376 -0.0403469959676056 -0.0553022154150235 -0.551859302394366 -0.764248191793427 -0.605405402603286 -0.328326007237559 -0.398042829343662 -0.328326007237559 -0.398042829343662 -0.440936834330986 -0.377366130042254 -0.47762596056493 -0.535924642737089 -0.683966988122066 -0.698369844478873 -0.420051733059624 -0.210814509096714 -0.558112025840376 -0.416916459087324 -0.195359005856385 -0.506500240147887 -0.420840455112207 -0.352714498530469 -0.670450650150235 -0.425370907137559 -0.332376932460094 -0.730346581173709 -0.457506648277465 -0.665644524075117 -0.518148530185915 -0.586658527676056 -0.652003911830986 -0.658858350375587 -0.35886949624507 -0.517128799033333 -0.37248494544554 -0.389799816434272 -0.596345084356808 -0.578527650307042 -0.704902151666667 -0.712080948051643
"5" 6 0.279305323789062 -0.0201417933258086 -0.111522423220703 -0.500422766078125 -0.375413331970469 -0.620212321402344 0.94892571984375 -0.188584045132594 0.0365489386914062 -0.972606164726562 -0.95405650453125 -0.94368084203125 0.0723776085785156 0.00703626702261719 0.000925010859078126 -0.543422398578125 -0.478225140785937 -0.773945590273437 -0.0410162161368359 -0.0582876427597656 0.0815718166832031 -0.631272960416797 -0.7073866634375 -0.603154993671875 -0.0984909045566406 -0.0418514032535156 -0.05116650803125 -0.624734426050781 -0.810186599765625 -0.601667522719141 -0.455575156540195 -0.507995846638672 -0.455575156540195 -0.507995846638672 -0.56655648196875 -0.55078962266875 -0.552117177660156 -0.63385740471875 -0.718201150585937 -0.755951245625 -0.514026574983984 -0.397499120241406 -0.669541145039062 -0.496418242006836 -0.40429751329375 -0.624765091050781 -0.561205673839844 -0.505709324340625 -0.75274642671875 -0.566368134834375 -0.484672429988035 -0.794014683007813 -0.562376497306641 -0.73652445078125 -0.551358773460156 -0.654859193052734 -0.695304134960937 -0.6596199025 -0.494136172607422 -0.594647287554297 -0.531419953864453 -0.580661587667578 -0.664983853395313 -0.67826965509375 -0.764478154101563 -0.764365091875
"6" 7 0.265068843436066 -0.0201163126487213 -0.107007468455738 -0.553298513089508 -0.425772601689672 -0.665327344112787 0.734870835134426 -0.0184159542442951 0.14432678519682 -0.955546784393443 -0.931887496813115 -0.919498337019672 0.0785790923157377 0.00283335723452459 -0.00682810720334426 -0.577790477607246 -0.525342912506885 -0.795148752754098 -0.0273590809788525 -0.080284339812459 0.0869151894277377 -0.686370555013115 -0.722044327245902 -0.663727208940984 -0.105997563918689 -0.0409779987693443 -0.0574744653638361 -0.629380118586885 -0.795341254098361 -0.618104630863279 -0.493405593668689 -0.531333288409836 -0.493405593668689 -0.531333288409836 -0.603627442880754 -0.582869308442623 -0.610711518089836 -0.640084776147541 -0.719369803701639 -0.741100529318033 -0.564226033259016 -0.445729299896721 -0.708261268852459 -0.551802157946557 -0.454264624600885 -0.671279080878688 -0.593501614473115 -0.555721630876393 -0.775242235737705 -0.600008085601639 -0.524748680163934 -0.813886782557377 -0.594716544812787 -0.740585147868852 -0.585100405823934 -0.71713081164918 -0.714308038983607 -0.726679032983607 -0.532647641055082 -0.606904638291803 -0.567667729593443 -0.60631190495082 -0.658455553481967 -0.693144753022951 -0.742608213032787 -0.758141379506557
"7" 8 0.278187054780255 -0.0157851868833121 -0.10797351173765 -0.519185444170127 -0.434872296724204 -0.553176172209554 0.703018717165605 -0.0031989414625965 0.0922730050189748 -0.969618379936306 -0.946396566283439 -0.941004962898089 0.0841943395506051 0.0076524336911465 -0.0047897917983758 -0.579441881379936 -0.493219219790414 -0.692489267868408 -0.0377600486017197 -0.0769175442852548 0.0856774318378344 -0.693095314219745 -0.637503861028662 -0.607672169131847 -0.0998723768310701 -0.0474870907146497 -0.0509767162113376 -0.619390673981847 -0.68381701854172 -0.607562039865095 -0.461457897019713 -0.490259692302866 -0.461457897019713 -0.490259692302866 -0.570084685242038 -0.525228132165605 -0.575138344209236 -0.588659324310191 -0.664296811407643 -0.648910760748726 -0.560304950601911 -0.454322939476752 -0.603033884068885 -0.50507254305449 -0.461200734641083 -0.562048058649395 -0.607216328084395 -0.534730868605637 -0.676506149633376 -0.588383971748408 -0.482212730577006 -0.707065229633121 -0.599536468468153 -0.624936783296178 -0.553059832178885 -0.724153002165605 -0.649697213815287 -0.664992331751592 -0.49452500019949 -0.568127466075159 -0.521371885308471 -0.534149905455541 -0.601946733512962 -0.653020991279618 -0.664136165881115 -0.65489965150414
"8" 9 0.271843822420712 -0.0174162616165372 -0.110251216424272 -0.529955221343366 -0.416687608071553 -0.583628776296375 0.671482081909385 0.0714353234757282 0.0526397439658997 -0.967088189967638 -0.945773915148867 -0.93041912079288 0.0781848428983819 0.00165135226125243 -0.005797449685911 -0.594968378394175 -0.506601243393528 -0.72417834631068 -0.0499236773632039 -0.0581154664294822 0.0975253640353074 -0.619791103762136 -0.660298285760518 -0.576117480511974 -0.0906513869563107 -0.0474365559 -0.0554895923966343 -0.640280443847573 -0.721121487614887 -0.6512348111 -0.46585073023301 -0.511312916164401 -0.46585073023301 -0.511312916164401 -0.579105935398317 -0.580930903368932 -0.524981895168285 -0.597238666617152 -0.686833597864078 -0.717250772057152 -0.555297738834951 -0.446237437690938 -0.630438015902913 -0.521250322337217 -0.439132164593527 -0.593694706343689 -0.614097951446278 -0.555133921786408 -0.706217217624595 -0.612007891640479 -0.487932341016181 -0.740847157556634 -0.564417697278641 -0.659885819481877 -0.556800915905178 -0.641002397473463 -0.664320010867314 -0.625005374067961 -0.50912516906699 -0.590499306540453 -0.562854372547249 -0.608305391613269 -0.630913312130097 -0.647556334130744 -0.715860105467638 -0.739651826646699
"9" 10 0.273928416698361 -0.0160171235377344 -0.107523083988852 -0.577066970575082 -0.501727380234426 -0.500399108436098 0.691538698885246 0.102695276559672 0.0289805814450492 -0.960770608852459 -0.953644715672131 -0.93686725042623 0.0813493795854098 0.00339312517253443 -0.0130977697752787 -0.580801901940164 -0.602761412439016 -0.706576470590164 -0.0183966132663607 -0.0878203415194426 0.0854467709079016 -0.705488274321311 -0.645545097399344 -0.568128650016721 -0.0963141195177049 -0.0358127987512787 -0.0588995019198689 -0.738765449377049 -0.721513644605902 -0.72200996302623 -0.503989537670315 -0.556575559901082 -0.503989537670315 -0.556575559901082 -0.601050240162721 -0.585081194103607 -0.555186028527869 -0.631212575439344 -0.726392713213115 -0.733478610511475 -0.588509556324262 -0.528087199321311 -0.582081460841312 -0.573500189583934 -0.520278596121311 -0.498076327725836 -0.610384933675082 -0.623808100710164 -0.68651983547541 -0.588960047511443 -0.608185260721967 -0.725780903878689 -0.657708224062295 -0.637550145576721 -0.57017205844918 -0.722261652593443 -0.65512391816918 -0.609440003686557 -0.539288235151148 -0.63749535187082 -0.57567461350459 -0.603015343071475 -0.661744483131148 -0.676590375942623 -0.730231846878688 -0.757534891202951
"10" 11 0.277823947643098 -0.0180013330382525 -0.114105777710438 -0.6031716727367 -0.50346936940404 -0.580974776604714 0.691104598316498 0.0787819312023569 0.00710026889084175 -0.961762074444444 -0.953758837340067 -0.92562172973064 0.0816269157892256 0.000943680645925926 -0.00552832835329966 -0.550284643798653 -0.554199995655892 -0.715183389098316 -0.0579276043440741 -0.0585750657167441 0.103165439794411 -0.669302529515825 -0.612388378688889 -0.57203670751138 -0.0905273369772391 -0.0428241062135354 -0.0553788712572391 -0.719850138075758 -0.732373037041077 -0.707983692468014 -0.542224313099663 -0.572994891331987 -0.542224313099663 -0.572994891331987 -0.577808080678818 -0.54580528247037 -0.52015076236633 -0.636664041427273 -0.721991711279461 -0.745898268619529 -0.573786026610438 -0.505721356082828 -0.614828791780135 -0.616214946098653 -0.535944808026263 -0.597690733684848 -0.575700803868013 -0.574928207184747 -0.690429775947138 -0.564821195983737 -0.562344936160269 -0.738656333737374 -0.620263996882155 -0.636025334670034 -0.572667344188653 -0.68710879346128 -0.604085791918855 -0.614134164285522 -0.536448996373064 -0.663361421454545 -0.534636253545455 -0.564637144234242 -0.659536357904377 -0.68714627530303 -0.742972895374747 -0.768476526363636
